Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-08-17 00:00:00-04:00,44.068246642480986,44.20983123779297,43.96205903990776,44.20983123779297,62100,0.0,0.0,0.0
2020-08-18 00:00:00-04:00,44.35140606065906,44.36910455312873,44.01514483066223,44.22751998901367,77100,0.0,0.0,0.0
2020-08-19 00:00:00-04:00,44.29832198794807,44.351414099337724,43.908961834328565,43.944358825683594,105400,0.0,0.0,0.0
2020-08-20 00:00:00-04:00,43.731973571775804,44.15673065185547,43.66118297552411,44.15673065185547,87500,0.0,0.0,0.0
2020-08-21 00:00:00-04:00,43.82047314617398,43.94435924144578,43.66119005921226,43.90896224975586,147600,0.0,0.0,0.0
2020-08-24 00:00:00-04:00,44.36910451615446,44.36910451615446,43.92665233170833,44.103633880615234,75900,0.0,0.0,0.0
2020-08-25 00:00:00-04:00,44.19212470487371,44.26291867747699,43.90895556574542,44.24522018432617,111350,0.0,0.0,0.0
2020-08-26 00:00:00-04:00,44.28061689132008,44.84695516600439,44.262918398280895,44.776161193847656,95000,0.0,0.0,0.0
2020-08-27 00:00:00-04:00,44.98854229926976,45.02393928736595,44.49299459285085,44.75846862792969,89700,0.0,0.0,0.0
2020-08-28 00:00:00-04:00,45.09472687031652,45.09472687031652,44.63457618278566,44.68767166137695,58250,0.0,0.0,0.0
2020-08-31 00:00:00-04:00,44.758466358772715,44.758466358772715,44.24522018432617,44.24522018432617,89500,0.0,0.0,0.0
2020-09-01 00:00:00-04:00,44.43990371697344,44.652278900146484,44.19212816908133,44.652278900146484,102200,0.0,0.0,0.0
2020-09-02 00:00:00-04:00,44.9177466455345,44.93544513892161,44.63457750262566,44.864654541015625,102800,0.0,0.0,0.0
2020-09-03 00:00:00-04:00,44.687673574499115,44.7761626669639,43.71428005481653,43.891258239746094,81700,0.0,0.0,0.0
2020-09-04 00:00:00-04:00,44.085933929290036,44.192121504863366,42.95325745479547,43.55499267578125,90000,0.0,0.0,0.0
2020-09-08 00:00:00-04:00,42.793985566704066,43.059456262708224,42.369231777968814,42.652400970458984,81350,0.0,0.0,0.0
2020-09-09 00:00:00-04:00,43.18333194604548,43.785067178850916,43.059445876169455,43.60808563232422,117000,0.0,0.0,0.0
